,name,address
368,"
",경북고령군고령점
369,부산사상구괘법감전점(B),부산 사상구 운산로
370,부산사하구신평점,부산 사하구 다대로142번길
371,전북완주군봉동3공단점,전북 완주군 봉동읍 원둔산길
372,경남진주시판문점,경남 진주시 진양호로
373,광주남구주월점,광주 남구 회서로
374,충남예산군예산점,충남 예산군 예산읍 역전로
375,충북청주시산남3지구성화점,충북 청주시 서원구 원흥로
376,경기평택시청북점,경기 평택시 청북면 안청로
377,대구수성구시지1점,대구 수성구 달구벌대로
378,강원강릉시솔올점,강원 강릉시 원대로
379,서울강남구도곡점,서울 강남구 도곡로
380,서울마포구서교점,서울 마포구 월드컵북로
381,경북포항시두호점,경북 포항시 북구 삼호로
382,경기성남시이매점,경기 성남시 분당구 성남대로
383,대전유성구학하덕명점,대전 유성구 학하남로
384,경북영덕군영덕점,경북 영덕군 영덕읍 군청길
385,부산부산진구전포점,부산 부산진구 동성로
386,경남양산시덕계1호점,경남 양산시 평산남4길
387,"
",전북고창군고창점
388,전남보성군보성점,전남 보성군 보성읍 중앙로
389,광주동구학동점,광주 동구 천변우로
390,경기고양시식사동점,경기 고양시 일산동구 위시티3로
391,인천서구연희점,인천 서구 승학로
392,경기광주시광주점,경기 광주시 통미로
393,전남광양시광양점,전남 광양시 광양읍 인서길
394,전남해남군해남점,전남 해남군 해남읍 중앙로
395,경기양주시덕계점,경기 양주시 평화로
396,경기부천시중동약대점,경기 부천시 원미구 도약로
397,서울동작구신대방점,서울 동작구 여의대방로
398,충남연기군조치원점,세종시 조치원읍 신흥샛터길
399,경기용인시모현점,경기 용인시 처인구 모현면 백옥대로
400,경기안성시안성1점(B),경기 안성시 안성맞춤대로
401,충남태안군태안1점,충남 태안군 태안읍 군청길
402,부산남구감만점,부산 남구 석포로
403,전북익산시모현점,전북 익산시 고현로길
404,서울성북구길음점,서울 성북구 삼양로
405,울산북구양정점,울산 북구 염포로
406,인천남구용현점,인천 남구 아암대로
407,서울서초구방배본동점,서울 서초구 방배중앙로
408,충북옥천군옥천점,충북 옥천군 옥천읍 성신로
409,경기성남시성남점,경기 성남시 중원구 원터로
410,"
",강원홍천군시동점
411,부산강서구강서구청점,부산 강서구 대저로
412,경기부천시오정점,경기 부천시 오정구 부천로
413,경북구미시산동확장단지점,경북 구미시 산동면 신당인덕1로
414,대전중구부사점,대전 중구 보문로
415,광주남구봉선1점,광주 남구 봉선로
416,서울송파구석촌점,서울 송파구 가락로
417,서울용산구이촌점,서울 용산구 이촌로
418,서울광진구자양2점,서울 광진구 뚝섬로
419,전북남원시남원점,전라북도 남원시 동문로
420,제주서귀포시화순안덕점,제주 서귀포시 안덕면 일주서로
421,강원동해시부곡점,강원 동해시 발한로
422,경남김해시장유1호점,경남 김해시 능동로
423,대전서구월평점,대전 서구 월평중로
424,경북경주시외동점,경북 경주시 입실로
425,광주동구산수점,광주 동구 산수길 33
426,대구북구태전점(B),대구 북구 구암로
427,전남고흥군고흥점,전남 고흥군 고흥읍 봉황길
428,"
",강원평창군장평점
429,"
",경남거제시거제면점
430,경기안산시본오2호점,경기 안산시 상록구 본원로
431,서울도봉구창동점,서울 도봉구 덕릉로
432,경기광명시철산역점,경기 광명시 디지털로
433,경기화성시남양점,경기 화성시 남양시장로
434,충북청주시사직점,충북 청주시 서원구 호국로
435,경북칠곡군중리점,경북 칠곡군 석적읍 장곡길
436,경기수원시우만점,경기 수원시 팔달구 중부대로
437,서울강남구역삼충현점,서울 강남구 봉은사로
438,전북완주군삼례우석대점,전북 완주군 삼례읍 동학로
439,전북전주시서학중앙점(B),전북 전주시 완산구 서학길
440,충남보령시무창포해수욕장점,충남 보령시 웅천읍 열린바다로
441,울산중구병영점,울산 중구 동천4길
442,"
",경기평택시포승점
443,경북포항시남부점,경북 포항시 남구 상도로
444,경기하남시신장점,경기 하남시 하남대로
445,경북구미시공단비산점,경상북도 구미시 비산로5길
446,서울서초구잠원점,서울 서초구 나루터로
447,제주서귀포시성산점,제주 서귀포시 성산읍 고성동서로
448,전남목포시삼학점,전남 목포시 산정로
449,인천남구학익점,인천 남구 소성로
450,부산금정구부산대점,부산 금정구 금강로
451,울산중구우정혁신점,울산 중구 종가길
452,경기화성시와우리점(B),경기 화성시 봉담읍 와우로
453,"
",충북제천시강제점
454,"
",충북영동군영동점
455,경기남양주시청학점,경기 남양주시 별내면 청학로
